
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,4,1987-10-11,25-117,NYG,,WAS,L 12-38,4,5,1.25,0,,0,0,,0
2,1987,5,1987-10-18,25-124,NYG,@,BUF,L 3-6,2,6,3.00,0,,1,6,6.00,0
,,,2 Games,,,,,0-2-0,6,11,1.83,0,,1,6,6.00,0
