
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1975,10,1975-11-23,23-116,BUF,,NWE,W 45-31,1,18,18.00,0
2,1975,14,1975-12-20,23-143,BUF,,MIN,L 13-35,3,62,20.67,0
,,,2 Games,,,,,1-1-0,4,80,20.00,0
