
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Sk,Tkl,Ast
1,2010,1,2010-09-12,24-310,IND,@,HOU,L 24-34,0,0,,0,7,155,22.14,0,0.0,0,0
2,2010,2,2010-09-19,24-317,IND,,NYG,W 38-14,2,-2,-1.00,0,2,40,20.00,0,0.0,1,0
3,2010,3,2010-09-26,24-324,IND,@,DEN,W 27-13,0,0,,0,1,16,16.00,0,0.0,0,0
4,2010,4,2010-10-03,24-331,IND,@,JAX,L 28-31,0,0,,0,2,46,23.00,0,0.0,0,0
,,,4 Games,,,,,2-2-0,2,-2,-1.00,0,12,257,21.42,0,0.0,1,0
