
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
10,1961,14,1961-12-17,22-223,SDG,,BOS,L 0-41,5,11,2.20,0,,3,45,15.00,0,0,0,,0,0,0,,,,2,62,31.00,0,0,0,,0,,,,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
11,1962,1,1962-09-07,23-122,SDG,@,DEN,L 21-30,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,3,87,29.00,0,0,0,,0,,,,,,,0,0
12,1962,2,1962-09-16,23-131,SDG,,NYT,W 40-14,13,48,3.69,0,,0,0,,0,1,1,100.00,23,1,0,158.3,23.00,43.00,2,145,72.50,1,3,17,5.67,0,,,,,,,1,6
13,1962,3,1962-09-23,23-138,SDG,,HOU,L 17-42,10,18,1.80,0,,3,25,8.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,25,25.00,0,1,15,15.00,0,,,,,,,0,0
14,1962,4,1962-09-30,23-145,SDG,@,OAK,W 42-33,12,166,13.83,1,,1,29,29.00,0,0,0,,0,0,0,,,,2,44,22.00,0,1,2,2.00,0,,,,,,,1,6
15,1962,5,1962-10-07,23-152,SDG,,DTX,W 32-28,19,85,4.47,1,,3,42,14.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,2,16,8.00,0,,,,,,,1,6
16,1962,6,1962-10-13,23-158,SDG,@,BUF,L 10-35,10,32,3.20,0,,3,16,5.33,0,0,0,,0,0,0,,,,4,58,14.50,0,1,17,17.00,0,,,,,,,0,0
17,1962,7,1962-10-19,23-164,SDG,@,BOS,L 20-24,12,48,4.00,0,,2,16,8.00,0,0,0,,0,0,0,,,,2,39,19.50,0,0,0,,0,,,,,,,0,0
18,1962,11,1962-11-25,23-201,SDG,@,HOU,L 27-33,5,14,2.80,0,,2,49,24.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
19,1962,12,1962-12-02,23-208,SDG,,OAK,W 31-21,15,57,3.80,0,,2,37,18.50,1,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,1,6
20,1962,13,1962-12-09,23-215,SDG,,BOS,L 14-20,10,32,3.20,0,,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,15,15.00,0,,,,,,,0,0
21,1962,14,1962-12-16,23-222,SDG,@,DTX,L 17-26,11,74,6.73,0,,0,0,,0,1,1,100.00,20,1,0,158.3,20.00,40.00,0,0,,0,2,12,6.00,0,,,,,,,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts
22,1963,1,1963-09-08,24-123,SDG,,BUF,W 14-10,3,9,3.00,0,,2,38,19.00,0,0,0,,0,0,0,,,,2,55,27.50,0,1,0,0.00,0,,,,,,,0,0
23,1963,2,1963-09-14,24-129,SDG,,BOS,W 17-13,8,39,4.88,0,,0,0,,0,0,0,,0,0,0,,,,3,77,25.67,0,2,65,32.50,0,,,,,,,0,0
24,1963,3,1963-09-29,24-144,SDG,,KAN,W 24-10,14,59,4.21,0,,4,28,7.00,1,0,0,,0,0,0,,,,1,29,29.00,0,0,0,,0,,,,,,,1,6
25,1963,4,1963-10-06,24-151,SDG,@,DEN,L 34-50,8,62,7.75,0,,4,73,18.25,2,0,1,0.00,0,0,0,39.6,0.00,0.00,4,122,30.50,0,1,7,7.00,0,,,,,,,2,12
26,1963,5,1963-10-13,24-158,SDG,,NYJ,W 24-20,13,33,2.54,0,,2,40,20.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
27,1963,6,1963-10-20,24-165,SDG,@,KAN,W 38-17,10,127,12.70,1,,2,2,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,1,6
28,1963,7,1963-10-27,24-172,SDG,,OAK,L 33-34,15,130,8.67,1,,2,11,5.50,0,0,0,,0,0,0,,,,3,65,21.67,0,1,11,11.00,0,,,,,,,1,6
29,1963,8,1963-11-02,24-178,SDG,@,NYJ,W 53-7,11,62,5.64,0,,2,44,22.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
30,1963,9,1963-11-10,24-186,SDG,@,BOS,W 7-6,11,36,3.27,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,,0,,,,,,,0,0
31,1963,10,1963-11-17,24-193,SDG,@,BUF,W 23-13,10,101,10.10,1,,3,31,10.33,0,0,0,,0,0,0,,,,2,36,18.00,0,0,0,,0,,,,,,,1,6
32,1963,11,1963-12-01,24-207,SDG,,HOU,W 27-0,13,102,7.85,1,,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,2,15,7.50,0,,,,,,,1,6
33,1963,12,1963-12-08,24-214,SDG,@,OAK,L 27-41,2,0,0.00,0,,1,34,34.00,0,0,0,,0,0,0,,,,2,55,27.50,0,0,0,,0,,,,,,,0,0
