
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1970,11,1970-11-29,22-316,WAS,,NYG,L 24-27,1,1,1.00,0,,0,0,,0
2,1970,12,1970-12-06,22-323,WAS,@,DAL,L 0-34,4,5,1.25,0,,1,6,6.00,0
,,,2 Games,,,,,0-2-0,5,6,1.20,0,,1,6,6.00,0
