
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Pnt,Yds,Y/P,Blck
1,1966,3,1966-09-18,24-007,MIA,@,BUF,L 24-58,9,18,2.00,0,,0,0,,0,0,0,,0
2,1966,4,1966-10-02,24-021,MIA,@,SDG,L 10-44,2,24,12.00,0,,1,4,4.00,0,0,0,,0
3,1966,5,1966-10-09,24-028,MIA,@,OAK,L 10-21,2,20,10.00,0,,0,0,,0,0,0,,0
4,1966,7,1966-10-23,24-042,MIA,@,HOU,W 20-13,2,4,2.00,0,,0,0,,0,0,0,,0
5,1966,10,1966-11-20,24-070,MIA,@,NYJ,L 13-30,1,8,8.00,0,,0,0,,0,7,233,33.29,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Pnt,Yds,Y/P,Blck
6,1967,13,1967-12-17,25-097,MIA,,BOS,W 41-32,2,3,1.50,0,,0,0,,0,0,0,,0
,,,6 Games,,,,,2-4-0,18,77,4.28,0,,1,4,4.00,0,7,233,33.29,0
