
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,24-238,DEN,,HOU,L 10-40,10,30,3.00,0,,3,22,7.33,0
2,1987,4,1987-10-12,24-246,DEN,,RAI,W 30-14,5,19,3.80,0,,0,0,,0
3,1987,5,1987-10-18,24-252,DEN,@,KAN,W 26-17,1,4,4.00,0,,1,12,12.00,0
,,,3 Games,,,,,2-1-0,16,53,3.31,0,,4,34,8.50,0
