
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1994,8,1994-10-30,24-324,ARI,,PIT,W 20-17,4,73,18.25,0
2,1994,9,1994-11-06,24-331,ARI,@,PHI,L 7-17,2,35,17.50,0
,,,2 Games,,,,,1-1-0,6,108,18.00,0
