
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1969,1,1969-09-14,22-016,SDG,,KAN,L 9-27,0,0,,0,2,42,21.00,0
2,1969,11,1969-11-23,22-086,SDG,,DEN,W 45-24,2,9,4.50,0,0,0,,0
3,1969,12,1969-11-27,22-090,SDG,@,HOU,W 21-17,1,3,3.00,0,0,0,,0
4,1969,13,1969-12-07,22-100,SDG,,BOS,W 28-18,5,19,3.80,0,0,0,,0
5,1969,14,1969-12-14,22-107,SDG,,BUF,W 45-6,6,22,3.67,0,0,0,,0
,,,5 Games,,,,,4-1-0,14,53,3.79,0,2,42,21.00,0
