
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
1,1960,10,1960-12-04,27-254,PHI,@,STL,W 20-6,0,0,,0,0,0,,0,1,4,0
2,1960,11,1960-12-11,27-261,PHI,@,PIT,L 21-27,0,0,,0,0,0,,0,1,0,0
3,1960,12,1960-12-18,27-268,PHI,@,WAS,W 38-28,1,5,5.00,0,0,0,,0,0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
4,1961,2,1961-09-24,28-183,PHI,,WAS,W 14-7,0,0,,0,0,0,,0,1,20,0
5,1961,12,1961-12-03,28-253,PHI,@,PIT,W 35-24,0,0,,0,0,0,,0,1,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
6,1962,10,1962-11-18,29-238,PHI,@,NYG,L 14-19,0,0,,0,0,0,,0,1,20,0
7,1962,12,1962-12-02,29-252,PHI,@,WAS,W 37-14,0,0,,0,0,0,,0,1,14,0
8,1962,13,1962-12-09,29-259,PHI,,PIT,L 17-26,0,0,,0,0,0,,0,1,25,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
9,1963,5,1963-10-13,30-202,PHI,@,WAS,W 37-24,,,,,,,,,0,10,0
10,1963,12,1963-12-01,30-251,PHI,@,PIT,T 20-20,0,0,,0,0,0,,0,1,15,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,Int,Yds,TD
11,1964,2,1964-09-20,31-179,WAS,@,DAL,L 18-24,0,0,,0,0,0,,0,1,0,0
12,1964,5,1964-10-11,31-200,WAS,,PHI,W 35-20,1,0,0.00,0,0,0,,0,0,0,0
13,1964,6,1964-10-18,31-207,WAS,@,STL,L 24-38,0,0,,0,0,0,,0,1,13,0
14,1964,11,1964-11-22,31-242,WAS,,DAL,W 28-16,0,0,,0,1,0,0.00,0,0,0,0
,,,14 Games,,,,,8-5-1,2,5,2.50,0,1,0,0.00,0,10,121,0
