
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1960,1,1960-09-25,29-061,NYG,@,SFO,W 21-19,2,38,19.00,0,0,0,,0
2,1960,2,1960-10-02,29-068,NYG,@,STL,W 35-14,2,35,17.50,0,2,5,2.50,0
3,1960,3,1960-10-09,29-075,NYG,@,PIT,W 19-17,1,20,20.00,0,0,0,,0
4,1960,5,1960-10-30,29-096,NYG,,STL,L 13-20,2,65,32.50,0,3,33,11.00,0
5,1960,6,1960-11-06,29-103,NYG,@,CLE,W 17-13,2,52,26.00,0,1,1,1.00,0
6,1960,7,1960-11-13,29-110,NYG,,PIT,W 27-24,1,24,24.00,0,0,0,,0
7,1960,8,1960-11-20,29-117,NYG,,PHI,L 10-17,0,0,,0,3,42,14.00,0
8,1960,9,1960-11-27,29-124,NYG,@,PHI,L 23-31,2,46,23.00,0,3,12,4.00,0
9,1960,10,1960-12-04,29-131,NYG,,DAL,T 31-31,4,109,27.25,0,2,8,4.00,0
10,1960,11,1960-12-11,29-138,NYG,@,WAS,W 17-3,0,0,,0,4,65,16.25,0
11,1960,12,1960-12-18,29-145,NYG,,CLE,L 34-48,4,97,24.25,0,0,0,,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
12,1961,1,1961-09-17,30-053,NYG,,STL,L 10-21,2,36,18.00,0,1,0,0.00,0
13,1961,2,1961-09-24,30-060,NYG,@,PIT,W 17-14,0,0,,0,3,17,5.67,0
14,1961,3,1961-10-01,30-067,NYG,@,WAS,W 24-21,0,0,,0,3,20,6.67,0
15,1961,4,1961-10-08,30-074,NYG,@,STL,W 24-9,2,51,25.50,0,4,21,5.25,0
16,1961,6,1961-10-22,30-088,NYG,,RAM,W 24-14,0,0,,0,4,46,11.50,0
17,1961,7,1961-10-29,30-095,NYG,,DAL,L 16-17,0,0,,0,1,17,17.00,0
18,1961,8,1961-11-05,30-102,NYG,,WAS,W 53-0,0,0,,0,1,11,11.00,0
,,,18 Games,,,,,11-6-1,24,573,23.88,0,35,298,8.51,0
