
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1971,1,1971-09-19,22-008,NOR,,RAM,W 24-20,2,-2,-1.00,0,,0,0,,0,0,0
2,1971,2,1971-09-26,22-015,NOR,,SFO,L 20-38,13,54,4.15,0,,2,15,7.50,0,0,0
3,1971,3,1971-10-03,22-022,NOR,@,HOU,T 13-13,16,62,3.88,0,,2,13,6.50,0,0,0
4,1971,4,1971-10-10,22-029,NOR,@,CHI,L 14-35,8,36,4.50,1,,0,0,,0,1,6
5,1971,5,1971-10-17,22-036,NOR,,DAL,W 24-14,10,19,1.90,0,,0,0,,0,0,0
6,1971,6,1971-10-24,22-043,NOR,@,ATL,L 6-28,10,41,4.10,0,,1,10,10.00,0,0,0
7,1971,7,1971-10-31,22-050,NOR,@,WAS,L 14-24,15,64,4.27,1,,1,9,9.00,0,1,6
8,1971,8,1971-11-07,22-057,NOR,,OAK,T 21-21,13,91,7.00,0,,1,7,7.00,0,0,0
9,1971,9,1971-11-14,22-064,NOR,@,SFO,W 26-20,6,14,2.33,0,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
10,1972,9,1972-11-12,23-062,NOR,@,ATL,L 20-36,1,0,0.00,0,,0,0,,0,0,0
11,1972,14,1972-12-17,23-097,NOR,,GNB,L 20-30,10,28,2.80,0,,1,9,9.00,0,0,0
,,,11 Games,,,,,3-6-2,104,407,3.91,2,,8,63,7.88,0,2,12
