
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck
1,1960,4,1960-10-02,26-173,NYT,@,DTX,W 37-35,4,6,1.50,0,,0,0,,0,0,0,5,219,43.80,0
2,1960,5,1960-10-09,26-180,NYT,@,HOU,L 21-27,1,3,3.00,0,,0,0,,0,0,0,2,89,44.50,0
3,1960,6,1960-10-16,26-187,NYT,@,BUF,W 17-13,1,6,6.00,0,,0,0,,0,0,0,3,117,39.00,0
4,1960,7,1960-10-23,26-194,NYT,,HOU,L 28-42,3,10,3.33,0,,0,0,,0,0,0,4,109,27.25,0
5,1960,8,1960-10-28,26-199,NYT,,OAK,L 27-28,0,0,,0,,0,0,,0,0,0,3,120,40.00,0
6,1960,9,1960-11-04,26-206,NYT,,LAC,L 7-21,0,0,,0,,0,0,,0,0,0,5,199,39.80,0
7,1960,10,1960-11-11,26-213,NYT,@,BOS,L 21-38,6,15,2.50,1,,1,13,13.00,0,1,6,5,157,31.40,0
8,1960,11,1960-11-24,26-226,NYT,,DTX,W 41-35,0,0,,0,,0,0,,0,0,0,5,182,36.40,0
9,1960,12,1960-12-04,26-236,NYT,@,DEN,W 30-27,0,0,,0,,0,0,,0,0,0,6,202,33.67,0
10,1960,13,1960-12-11,26-243,NYT,@,OAK,W 31-28,1,4,4.00,0,,0,0,,0,0,0,5,163,32.60,0
11,1960,14,1960-12-18,26-250,NYT,@,LAC,L 43-50,1,25,25.00,0,,0,0,,0,0,0,5,222,44.40,0
,,,11 Games,,,,,5-6-0,17,69,4.06,1,,1,13,13.00,0,1,6,48,1779,37.06,0
