
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2000,1,2000-09-03,22-015,ARI,@,NYG,L 16-21,12,16,1.33,0,6,4,18,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
2,2000,2,2000-09-10,22-022,ARI,,DAL,W 32-31,23,70,3.04,0,3,2,30,15.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
3,2000,3,2000-09-24,22-036,ARI,,GNB,L 3-29,10,24,2.40,0,5,2,3,1.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
4,2000,4,2000-10-01,22-043,ARI,@,SFO,L 20-27,10,36,3.60,1,5,4,15,3.75,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
5,2000,5,2000-10-08,22-050,ARI,,CLE,W 29-21,6,9,1.50,1,2,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
6,2000,6,2000-10-15,22-057,ARI,,PHI,L 14-33,3,35,11.67,0,1,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
7,2000,7,2000-10-22,22-064,ARI,@,DAL,L 7-48,11,50,4.55,0,2,2,15,7.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
8,2000,8,2000-10-29,22-071,ARI,,NOR,L 10-21,6,26,4.33,0,4,3,19,6.33,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
9,2000,9,2000-11-05,22-078,ARI,,WAS,W 16-15,4,16,4.00,0,1,1,5,5.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
10,2000,10,2000-11-12,22-085,ARI,@,MIN,L 14-31,3,3,1.00,0,2,2,17,8.50,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
11,2000,11,2000-11-19,22-092,ARI,@,PHI,L 9-34,1,-2,-2.00,0,4,3,38,12.67,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
12,2000,12,2000-11-26,22-099,ARI,,NYG,L 7-31,2,11,5.50,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
13,2000,14,2000-12-10,22-113,ARI,@,JAX,L 10-44,7,40,5.71,0,1,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
14,2000,15,2000-12-17,22-120,ARI,,BAL,L 7-13,14,39,2.79,0,9,7,41,5.86,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
