
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1989,2,1989-09-17,23-181,ATL,,DAL,W 27-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,4,69,17.25,0,0,0
2,1989,3,1989-09-24,23-188,ATL,@,IND,L 9-13,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,43,43.00,0,0,0
3,1989,4,1989-10-01,23-195,ATL,@,GNB,L 21-23,1,5,5.00,0,,2,26,13.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
4,1989,5,1989-10-08,23-202,ATL,@,RAM,L 14-26,3,7,2.33,1,,4,61,15.25,0,0,0,,0,0,0,,,,3,46,15.33,0,1,6
5,1989,6,1989-10-15,23-209,ATL,,NWE,W 16-15,4,6,1.50,1,,3,66,22.00,0,0,0,,0,0,0,,,,3,77,25.67,0,1,6
6,1989,7,1989-10-22,23-216,ATL,@,PHO,L 20-34,5,22,4.40,1,,8,57,7.13,0,0,0,,0,0,0,,,,1,22,22.00,0,1,6
7,1989,8,1989-10-29,23-223,ATL,@,NOR,L 13-20,6,23,3.83,0,,2,9,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
8,1989,9,1989-11-05,23-230,ATL,,BUF,W 30-28,11,32,2.91,2,,3,50,16.67,0,0,0,,0,0,0,,,,1,23,23.00,0,2,12
9,1989,10,1989-11-12,23-237,ATL,@,SFO,L 3-45,4,12,3.00,0,,2,6,3.00,0,0,0,,0,0,0,,,,2,31,15.50,0,0,0
10,1989,12,1989-11-26,23-251,ATL,@,NYJ,L 7-27,2,15,7.50,0,,1,1,1.00,0,0,0,,0,0,0,,,,2,40,20.00,0,0,0
11,1989,13,1989-12-03,23-258,ATL,,SFO,L 10-23,1,13,13.00,0,,2,23,11.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,1,4,4.00,0,0,0
12,1989,14,1989-12-10,23-265,ATL,@,MIN,L 17-43,4,21,5.25,0,,5,37,7.40,0,0,0,,0,0,0,,,,4,65,16.25,0,0,0
13,1989,15,1989-12-17,23-272,ATL,,WAS,L 30-31,4,9,2.25,0,,2,22,11.00,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0
14,1989,16,1989-12-24,23-279,ATL,,DET,L 24-31,7,37,5.29,1,,7,38,5.43,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
15,1990,1,1990-09-09,24-173,ATL,,HOU,W 47-27,2,17,8.50,0,,2,30,15.00,0,0,0,,0,0,0,,,,1,26,26.00,0,0,0
16,1990,2,1990-09-16,24-180,ATL,@,DET,L 14-21,4,29,7.25,0,,2,16,8.00,0,0,0,,0,0,0,,,,2,34,17.00,0,0,0
17,1990,3,1990-09-23,24-187,ATL,@,SFO,L 13-19,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,33,33.00,0,0,0
18,1990,4,1990-10-07,24-201,ATL,,NOR,W 28-27,2,4,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1990,6,1990-10-21,24-215,ATL,@,RAM,L 24-44,2,3,1.50,0,,0,0,,0,0,0,,0,0,0,,,,1,17,17.00,0,0,0
20,1990,7,1990-10-28,24-222,ATL,,CIN,W 38-17,2,11,5.50,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,1990,8,1990-11-04,24-229,ATL,@,PIT,L 9-21,3,8,2.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
22,1990,9,1990-11-11,24-236,ATL,@,CHI,L 24-30,6,17,2.83,0,,2,9,4.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1990,10,1990-11-18,24-243,ATL,,PHI,L 23-24,4,13,3.25,0,,2,17,8.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
24,1990,11,1990-11-25,24-250,ATL,@,NOR,L 7-10,0,0,,0,,2,12,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
25,1990,12,1990-12-02,24-257,ATL,@,TAM,L 17-23,6,41,6.83,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
26,1990,13,1990-12-09,24-264,ATL,,PHO,L 13-24,3,12,4.00,0,,1,9,9.00,0,1,1,100.00,37,0,0,118.7,37.00,37.00,0,0,,0,0,0
27,1990,14,1990-12-16,24-271,ATL,@,CLE,L 10-13,3,10,3.33,0,,0,0,,0,0,0,,0,0,0,,,,1,22,22.00,0,0,0
28,1990,15,1990-12-23,24-278,ATL,,RAM,W 20-13,5,9,1.80,0,,0,0,,0,0,0,,0,0,0,,,,1,28,28.00,0,0,0
29,1990,16,1990-12-30,24-285,ATL,,DAL,W 26-7,7,11,1.57,0,,1,6,6.00,0,0,0,,0,0,0,,,,1,76,76.00,1,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
30,1991,1,1991-09-01,25-165,ATL,@,KAN,L 3-14,18,74,4.11,0,,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
31,1991,2,1991-09-08,25-172,ATL,,MIN,L 19-20,10,36,3.60,0,,3,42,14.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
32,1991,3,1991-09-15,25-179,ATL,@,SDG,W 13-10,3,12,4.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
33,1991,4,1991-09-22,25-186,ATL,,RAI,W 21-17,3,-1,-0.33,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
34,1991,5,1991-09-29,25-193,ATL,,NOR,L 6-27,1,5,5.00,0,,2,7,3.50,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
35,1992,1,1992-09-06,26-170,ATL,,NYJ,W 20-17,11,41,3.73,0,3,3,22,7.33,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0
36,1992,2,1992-09-13,26-177,ATL,@,WAS,L 17-24,4,12,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
37,1992,3,1992-09-20,26-184,ATL,,NOR,L 7-10,7,20,2.86,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
38,1992,4,1992-09-27,26-191,ATL,@,CHI,L 31-41,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,9,9.00,0,0,0
39,1992,5,1992-10-04,26-198,ATL,,GNB,W 24-10,17,87,5.12,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
40,1992,6,1992-10-11,26-205,ATL,@,MIA,L 17-21,12,55,4.58,0,2,1,12,12.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
41,1992,7,1992-10-18,26-212,ATL,@,SFO,L 17-56,1,0,0.00,0,,0,0,,0,0,0,,0,0,0,,,,4,81,20.25,0,0,0
42,1992,8,1992-11-01,26-226,ATL,,RAM,W 30-28,1,3,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
