
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1987,3,1987-10-04,23-277,IND,@,BUF,W 47-6,17,58,3.41,0,,1,4,4.00,0
2,1987,4,1987-10-11,23-284,IND,,NYJ,W 6-0,0,0,,0,,1,5,5.00,0
,,,2 Games,,,,,2-0-0,17,58,3.41,0,,2,9,4.50,0
