
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,2010,10,2010-11-21,27-107,BUF,@,CIN,W 49-31,1,2,2.00,0,0,0,,0
2,2010,16,2011-01-02,27-149,BUF,@,NYJ,L 7-38,0,0,,0,2,28,14.00,0
,,,2 Games,,,,,1-1-0,1,2,2.00,0,2,28,14.00,0
