
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1999,3,1999-09-26,25-206,NYJ,,WAS,L 20-27,,,,
2,1999,5,1999-10-11,25-221,NYJ,,JAX,L 6-16,2,38,19.00,0
3,1999,6,1999-10-17,25-227,NYJ,,IND,L 13-16,1,26,26.00,0
4,1999,7,1999-10-24,25-234,NYJ,@,OAK,L 23-24,1,20,20.00,0
5,1999,8,1999-11-07,25-248,NYJ,,ARI,W 12-7,,,,
6,1999,9,1999-11-15,25-256,NYJ,@,NWE,W 24-17,,,,
7,1999,10,1999-11-21,25-262,NYJ,,BUF,W 17-7,,,,
8,1999,11,1999-11-28,25-269,NYJ,@,IND,L 6-13,,,,
9,1999,12,1999-12-05,25-276,NYJ,@,NYG,L 28-41,,,,
10,1999,13,1999-12-12,25-283,NYJ,,MIA,W 28-20,,,,
11,1999,14,1999-12-19,25-290,NYJ,@,DAL,W 22-21,,,,
12,1999,15,1999-12-27,25-298,NYJ,@,MIA,W 38-31,,,,
13,1999,16,2000-01-02,25-304,NYJ,,SEA,W 19-9,,,,
,,,13 Games,,,,,7-6-0,4,84,21.00,0
