
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,2000,3,2000-09-17,24-188,CHI,,NYG,L 7-14,,,,,,,,,
2,2000,4,2000-09-24,24-195,CHI,,DET,L 14-21,1,3,3.00,0,0,0,0,,0
3,2000,5,2000-10-01,24-202,CHI,@,GNB,W 27-24,,,,,,,,,
4,2000,6,2000-10-08,24-209,CHI,,NOR,L 10-31,,,,,,,,,
5,2000,7,2000-10-15,24-216,CHI,,MIN,L 16-28,,,,,,,,,
6,2000,8,2000-10-22,24-223,CHI,@,PHI,L 9-13,,,,,,,,,
7,2000,9,2000-11-05,24-237,CHI,,IND,W 27-24,5,23,4.60,0,1,0,0,,0
8,2000,10,2000-11-12,24-244,CHI,@,BUF,L 3-20,,,,,,,,,
9,2000,11,2000-11-19,24-251,CHI,,TAM,W 13-10,3,11,3.67,0,0,0,0,,0
10,2000,12,2000-11-26,24-258,CHI,@,NYJ,L 10-17,3,11,3.67,0,2,1,7,7.00,0
11,2000,13,2000-12-03,24-265,CHI,,GNB,L 6-28,,,,,,,,,
12,2000,14,2000-12-10,24-272,CHI,,NWE,W 24-17,1,3,3.00,0,0,0,0,,0
13,2000,16,2000-12-24,24-286,CHI,@,DET,W 23-20,2,30,15.00,0,0,0,0,,0
,,,13 Games,,,,,5-8-0,15,81,5.40,0,3,1,7,7.00,0
