
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,1993,9,1993-11-14,24-099,CLE,@,SEA,L 5-22,,0,0,,0
2,1993,10,1993-11-21,24-106,CLE,,HOU,L 20-27,1,0,0,,0
3,1993,11,1993-11-28,24-113,CLE,@,ATL,L 14-17,1,0,0,,0
4,1993,12,1993-12-05,24-120,CLE,,NOR,W 17-13,1,0,0,,0
5,1993,13,1993-12-12,24-127,CLE,@,HOU,L 17-19,2,0,0,,0
6,1993,14,1993-12-19,24-134,CLE,,NWE,L 17-20,1,1,14,14.00,0
7,1993,15,1993-12-26,24-141,CLE,@,RAM,W 42-14,,0,0,,0
,,,7 Games,,,,,2-5-0,6,1,14,14.00,0
