
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1983,1,1983-09-04,24-349,MIA,@,BUF,W 12-0,4,15,3.75,0,,0,0,,0,0,0
2,1983,2,1983-09-11,24-356,MIA,,NWE,W 34-24,8,22,2.75,0,,0,0,,0,0,0
3,1983,3,1983-09-19,24-364,MIA,@,RAI,L 14-27,8,27,3.38,0,,2,13,6.50,0,0,0
4,1983,4,1983-09-25,25-005,MIA,,KAN,W 14-6,0,0,,0,,0,0,,0,,
5,1983,5,1983-10-02,25-012,MIA,@,NOR,L 7-17,8,14,1.75,0,,0,0,,0,0,0
6,1983,6,1983-10-09,25-019,MIA,,BUF,L 35-38,8,24,3.00,0,,0,0,,0,0,0
7,1983,7,1983-10-16,25-026,MIA,@,NYJ,W 32-14,5,28,5.60,0,,1,0,0.00,0,0,0
8,1983,8,1983-10-23,25-033,MIA,@,BAL,W 21-7,5,2,0.40,0,,0,0,,0,0,0
9,1983,9,1983-10-30,25-040,MIA,,RAM,W 30-14,2,47,23.50,0,,1,3,3.00,1,1,6
10,1983,10,1983-11-06,25-047,MIA,@,SFO,W 20-17,1,-4,-4.00,0,,0,0,,0,0,0
11,1983,11,1983-11-13,25-054,MIA,@,NWE,L 6-17,1,2,2.00,0,,1,15,15.00,0,0,0
12,1983,12,1983-11-20,25-061,MIA,,BAL,W 37-0,8,36,4.50,0,,0,0,,0,0,0
13,1983,15,1983-12-10,25-081,MIA,,ATL,W 31-24,12,83,6.92,1,,1,2,2.00,0,1,6
14,1983,16,1983-12-16,25-087,MIA,,NYJ,W 34-14,15,96,6.40,0,,2,22,11.00,1,1,6
,,,14 Games,,,,,10-4-0,85,392,4.61,1,,8,55,6.88,2,3,18
