
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1985,9,1985-11-03,26-157,DET,@,MIN,L 13-16,0,0,,0,0,0,,0
2,1985,10,1985-11-10,26-164,DET,@,CHI,L 3-24,0,0,,0,0,0,,0
3,1985,11,1985-11-17,26-171,DET,,MIN,W 41-21,0,0,,0,0,0,,0
4,1985,12,1985-11-24,26-178,DET,@,TAM,L 16-19,0,0,,0,3,79,26.33,0
5,1985,13,1985-11-28,26-182,DET,,NYJ,W 31-20,0,0,,0,1,22,22.00,0
6,1985,14,1985-12-08,26-192,DET,@,NWE,L 6-23,1,2,2.00,0,4,77,19.25,0
7,1985,15,1985-12-15,26-199,DET,,GNB,L 23-26,0,0,,0,1,21,21.00,0
8,1985,16,1985-12-22,26-206,DET,,CHI,L 17-37,0,0,,0,1,27,27.00,0
,,,8 Games,,,,,2-6-0,1,2,2.00,0,10,226,22.60,0
