
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
1,1964,1,1964-09-13,22-360,PIT,,RAM,L 14-26,2,105,52.50,0,0,0,,0,0,0,0,0,0
2,1964,2,1964-09-20,23-001,PIT,,NYG,W 27-24,1,27,27.00,0,1,0,0.00,0,0,0,0,0,0
3,1964,4,1964-10-04,23-015,PIT,@,PHI,L 7-21,1,28,28.00,0,0,0,,0,0,0,0,0,0
4,1964,7,1964-10-25,23-036,PIT,,PHI,L 10-34,1,18,18.00,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
5,1965,1,1965-09-19,24-000,PIT,,GNB,L 9-41,2,45,22.50,0,0,0,,0,0,0,0,0,0
6,1965,7,1965-10-31,24-042,PIT,,DAL,W 22-13,0,0,,0,0,0,,0,0,0,1,17,0
7,1965,13,1965-12-12,24-084,PIT,,PHI,L 13-47,0,0,,0,0,0,,0,1,6,2,70,1
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
8,1966,4,1966-10-02,25-013,PIT,@,WAS,L 10-24,3,53,17.67,0,0,0,,0,0,0,0,0,0
9,1966,5,1966-10-08,25-019,PIT,@,CLE,L 10-41,3,60,20.00,0,0,0,,0,0,0,0,0,0
10,1966,7,1966-10-30,25-041,PIT,@,DAL,L 21-52,0,0,,0,0,0,,0,1,6,1,56,1
11,1966,8,1966-11-06,25-048,PIT,,CLE,W 16-6,0,0,,0,0,0,,0,0,0,1,0,0
12,1966,9,1966-11-13,25-055,PIT,,STL,W 30-9,0,0,,0,0,0,,0,0,0,1,9,0
13,1966,10,1966-11-20,25-062,PIT,,DAL,L 7-20,0,0,,0,0,0,,0,0,0,1,26,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
14,1967,1,1967-09-17,25-363,PIT,,CHI,W 41-13,0,0,,0,0,0,,0,0,0,1,10,0
15,1967,2,1967-09-24,26-005,PIT,,STL,L 14-28,0,0,,0,0,0,,0,0,0,1,0,0
16,1967,4,1967-10-07,26-018,PIT,@,CLE,L 10-21,0,0,,0,0,0,,0,0,0,2,15,0
17,1967,5,1967-10-15,26-026,PIT,,NYG,L 24-27,0,0,,0,0,0,,0,0,0,1,24,0
18,1967,12,1967-12-03,26-075,PIT,@,DET,W 24-14,0,0,,0,0,0,,0,0,0,1,0,0
19,1967,14,1967-12-17,26-089,PIT,@,GNB,W 24-17,0,0,,0,0,0,,0,0,0,1,0,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
20,1968,4,1968-10-05,27-016,PIT,@,CLE,L 24-31,0,0,,0,0,0,,0,0,0,1,11,0
21,1968,9,1968-11-10,27-052,PIT,@,STL,T 28-28,0,0,,0,0,0,,0,0,0,1,0,0
22,1968,13,1968-12-08,27-080,PIT,@,DAL,L 7-28,0,0,,0,0,0,,0,0,0,1,12,0
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
23,1969,2,1969-09-28,28-009,PIT,@,PHI,L 27-41,1,18,18.00,0,0,0,,0,0,0,0,0,0
24,1969,8,1969-11-09,28-051,PIT,@,CHI,L 7-38,0,0,,0,0,0,,0,0,0,1,0,0
,,,24 Games,,,,,7-16-1,14,354,25.29,0,1,0,0.00,0,2,12,18,250,2
