
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1962,5,1962-10-14,24-217,OAK,,DEN,L 6-23,6,22,3.67,0,0,0,,0
2,1962,9,1962-11-11,24-245,OAK,,HOU,L 20-28,4,10,2.50,0,0,0,,0
3,1962,12,1962-12-02,24-266,OAK,@,SDG,L 21-31,0,0,,0,1,7,7.00,0
,,,3 Games,,,,,0-3-0,10,32,3.20,0,1,7,7.00,0
