
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1963,5,1963-10-05,23-215,BOS,@,NYJ,L 24-31,9,25,2.78,0,,1,3,3.00,0,0,0
2,1963,6,1963-10-11,23-221,BOS,,OAK,W 20-14,3,5,1.67,0,,1,15,15.00,1,1,6
3,1963,7,1963-10-18,23-228,BOS,,DEN,W 40-21,1,4,4.00,0,,1,1,1.00,0,0,0
4,1963,8,1963-10-26,23-236,BOS,@,BUF,L 21-28,4,21,5.25,0,,0,0,,0,0,0
5,1963,9,1963-11-01,23-242,BOS,,HOU,W 45-3,10,55,5.50,0,,1,1,1.00,0,0,0
6,1963,11,1963-11-17,23-258,BOS,,KAN,T 24-24,8,17,2.13,0,,2,24,12.00,0,0,0
7,1963,13,1963-12-08,23-279,BOS,@,HOU,W 46-28,8,20,2.50,0,,1,-2,-2.00,0,0,0
8,1963,14,1963-12-14,23-285,BOS,@,KAN,L 3-35,1,1,1.00,0,,3,6,2.00,0,0,0
,,,8 Games,,,,,4-3-1,44,148,3.36,0,,10,48,4.80,1,1,6
