
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1995,8,1995-10-30,23-326,MIN,,CHI,L 6-14,4,1,0.25,0,0,0,0,,0
2,1995,9,1995-11-05,23-332,MIN,,GNB,W 27-24,13,63,4.85,0,1,1,3,3.00,0
3,1995,10,1995-11-12,23-339,MIN,@,ARI,W 30-24,6,3,0.50,0,0,0,0,,0
4,1995,11,1995-11-19,23-346,MIN,,NOR,W 43-24,8,77,9.63,0,0,0,0,,0
,,,4 Games,,,,,3-1-0,31,144,4.65,0,1,1,3,3.00,0
