
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1979,1,1979-09-02,22-279,NYG,@,PHI,L 17-23,9,34,3.78,0,,6,43,7.17,0,0,0
2,1979,2,1979-09-09,22-286,NYG,,STL,L 14-27,9,14,1.56,0,,3,20,6.67,0,0,0
3,1979,5,1979-09-30,22-307,NYG,@,NOR,L 14-24,9,20,2.22,0,,2,22,11.00,1,1,6
4,1979,6,1979-10-07,22-314,NYG,,TAM,W 17-14,9,21,2.33,0,,2,11,5.50,0,0,0
5,1979,11,1979-11-11,22-349,NYG,,ATL,W 24-3,7,20,2.86,0,,0,0,,0,0,0
6,1979,12,1979-11-18,22-356,NYG,@,TAM,L 3-31,6,14,2.33,0,,2,-3,-1.50,0,0,0
7,1979,13,1979-11-25,22-363,NYG,,WAS,W 14-6,7,18,2.57,0,,0,0,,0,0,0
8,1979,14,1979-12-02,23-005,NYG,@,DAL,L 7-28,6,27,4.50,0,,1,15,15.00,0,0,0
,,,8 Games,,,,,3-5-0,62,168,2.71,0,,16,108,6.75,1,1,6
