
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2006,14,2006-12-17,24-131,NYJ,@,MIN,W 26-13
2,2006,15,2006-12-25,24-139,NYJ,@,MIA,W 13-10
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
3,2007,1,2007-09-09,25-032,NYJ,,NWE,L 14-38
4,2007,2,2007-09-16,25-039,NYJ,@,BAL,L 13-20
5,2007,3,2007-09-23,25-046,NYJ,,MIA,W 31-28
6,2007,4,2007-09-30,25-053,NYJ,@,BUF,L 14-17
7,2007,5,2007-10-07,25-060,NYJ,@,NYG,L 24-35
8,2007,6,2007-10-14,25-067,NYJ,,PHI,L 9-16
9,2007,7,2007-10-21,25-074,NYJ,@,CIN,L 31-38
10,2007,8,2007-10-28,25-081,NYJ,,BUF,L 3-13
11,2007,9,2007-11-04,25-088,NYJ,,WAS,L 20-23
,,,11 Games,,,,,3-8-0
