
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,TD,Pts
1,1978,1,1978-09-03,23-026,CLE,,SFO,W 24-7,0,0,,0,,0,0,,0,1,35,35.00,0,0,0
2,1978,2,1978-09-10,23-033,CLE,,CIN,W 13-10,0,0,,0,,0,0,,0,2,60,30.00,0,0,0
3,1978,3,1978-09-17,23-040,CLE,@,ATL,W 24-16,5,7,1.40,0,,0,0,,0,4,92,23.00,0,0,0
4,1978,4,1978-09-24,23-047,CLE,@,PIT,L 9-15,6,0,0.00,0,,1,4,4.00,0,2,67,33.50,0,0,0
5,1978,5,1978-10-01,23-054,CLE,,HOU,L 13-16,1,3,3.00,0,,0,0,,0,2,45,22.50,0,0,0
6,1978,6,1978-10-08,23-061,CLE,@,NOR,W 24-16,3,9,3.00,1,,0,0,,0,0,0,,0,1,6
7,1978,7,1978-10-15,23-068,CLE,,PIT,L 14-34,0,0,,0,,0,0,,0,1,16,16.00,0,0,0
8,1978,9,1978-10-29,23-082,CLE,,BUF,W 41-20,5,15,3.00,0,,0,0,,0,1,13,13.00,0,0,0
9,1978,10,1978-11-05,23-089,CLE,@,HOU,L 10-14,0,0,,0,,0,0,,0,3,56,18.67,0,0,0
10,1978,11,1978-11-12,23-096,CLE,,DEN,L 7-19,0,0,,0,,0,0,,0,4,67,16.75,0,0,0
11,1978,12,1978-11-19,23-103,CLE,@,BAL,W 45-24,0,0,,0,,0,0,,0,2,65,32.50,0,0,0
12,1978,13,1978-11-26,23-110,CLE,,RAM,W 30-19,0,0,,0,,0,0,,0,1,29,29.00,0,0,0
13,1978,14,1978-12-03,23-117,CLE,@,SEA,L 24-47,2,30,15.00,0,,0,0,,0,4,64,16.00,0,0,0
14,1978,15,1978-12-10,23-124,CLE,,NYJ,W 37-34,0,0,,0,,0,0,,0,2,36,18.00,0,0,0
15,1978,16,1978-12-17,23-131,CLE,@,CIN,L 16-48,0,0,,0,,0,0,,0,3,64,21.33,0,0,0
,,,15 Games,,,,,8-7-0,22,64,2.91,1,,1,4,4.00,0,32,709,22.16,0,1,6
