
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1987,4,1987-10-11,23-221,CLE,,HOU,L 10-15,0,0,,0,1,16,16.00,0
2,1987,5,1987-10-18,23-228,CLE,@,CIN,W 34-0,9,31,3.44,0,0,0,,0
,,,2 Games,,,,,1-1-0,9,31,3.44,0,1,16,16.00,0
