
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1992,1,1992-09-06,23-059,GNB,,MIN,L 20-23,0,0,,0,0,0,,0
2,1992,2,1992-09-13,23-066,GNB,@,TAM,L 3-31,1,8,8.00,0,0,0,,0
3,1992,3,1992-09-20,23-073,GNB,,CIN,W 24-23,0,0,,0,0,0,,0
4,1992,4,1992-09-27,23-080,GNB,,PIT,W 17-3,0,0,,0,0,0,,0
5,1992,5,1992-10-04,23-087,GNB,@,ATL,L 10-24,0,0,,0,0,0,,0
6,1992,6,1992-10-18,23-101,GNB,@,CLE,L 6-17,0,0,,0,0,0,,0
7,1992,7,1992-10-25,23-108,GNB,,CHI,L 10-30,0,0,,0,0,0,,0
8,1992,8,1992-11-01,23-115,GNB,@,DET,W 27-13,0,0,,0,0,0,,0
9,1992,9,1992-11-08,23-122,GNB,@,NYG,L 7-27,0,0,,0,0,0,,0
10,1992,10,1992-11-15,23-129,GNB,,PHI,W 27-24,0,0,,0,0,0,,0
11,1992,11,1992-11-22,23-136,GNB,@,CHI,W 17-3,0,0,,0,1,15,15.00,0
12,1992,12,1992-11-29,23-143,GNB,,TAM,W 19-14,0,0,,0,0,0,,0
13,1992,13,1992-12-06,23-150,GNB,,DET,W 38-10,1,3,3.00,0,0,0,,0
14,1992,14,1992-12-13,23-157,GNB,@,HOU,W 16-14,0,0,,0,0,0,,0
15,1992,15,1992-12-20,23-164,GNB,,RAM,W 28-13,0,0,,0,0,0,,0
16,1992,16,1992-12-27,23-171,GNB,@,MIN,L 7-27,0,0,,0,0,0,,0
,,,16 Games,,,,,9-7-0,2,11,5.50,0,1,15,15.00,0
