
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,1989,17,1989-12-31,23-141,RAM,@,PHI,W 21-7
2,1989,18,1990-01-07,23-148,RAM,@,NYG,W 19-13
3,1989,19,1990-01-14,23-155,RAM,@,SFO,L 3-30
,,,3 Games,,,,,2-1-0
