
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
1,1962,1,1962-09-16,22-153,DET,,PIT,W 45-7,,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
2,1963,2,1963-09-22,23-159,DET,@,GNB,L 10-31,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,1,23,0
3,1963,3,1963-09-29,23-166,DET,,CHI,L 21-37,,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0,0,0,0,0,0
4,1963,6,1963-10-20,23-187,DET,,BAL,L 21-25,,0,0,,0,0,0,,0,1,13,13.00,0,1,8,8.00,0,0,0,0,0,0
5,1963,8,1963-11-03,23-201,DET,@,SFO,W 45-7,,2,41,20.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
6,1964,8,1964-11-01,24-199,DET,,RAM,W 37-17,,0,0,,0,3,2,0.67,0,0,42,,0,0,,,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
7,1965,12,1965-12-05,25-233,HOU,,BUF,L 18-29,,1,95,95.00,1,0,0,,0,1,10,10.00,0,0,0,,0,1,6,0,0,0
8,1965,13,1965-12-12,25-240,HOU,,SDG,L 26-37,,2,45,22.50,1,0,0,,0,1,30,30.00,0,0,0,,0,1,6,0,0,0
9,1965,14,1965-12-18,25-246,HOU,@,BOS,L 14-42,,0,0,,0,1,2,2.00,0,2,28,14.00,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
10,1967,1,1967-09-17,27-154,PIT,,CHI,W 41-13,,4,56,14.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
11,1967,2,1967-09-24,27-161,PIT,,STL,L 14-28,,4,51,12.75,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
12,1967,3,1967-10-01,27-168,PIT,@,PHI,L 24-34,,4,70,17.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
13,1967,4,1967-10-07,27-174,PIT,@,CLE,L 10-21,,10,108,10.80,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
14,1967,5,1967-10-15,27-182,PIT,,NYG,L 24-27,,4,62,15.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
15,1967,6,1967-10-22,27-189,PIT,,DAL,L 21-24,,8,78,9.75,0,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0,0,0
16,1967,9,1967-11-12,27-210,PIT,@,STL,T 14-14,,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
17,1967,10,1967-11-19,27-217,PIT,@,NYG,L 20-28,,4,46,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
18,1967,11,1967-11-26,27-224,PIT,,MIN,L 27-41,,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD
19,1968,1,1968-09-15,28-152,PIT,,NYG,L 20-34,,1,9,9.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,0
20,1968,2,1968-09-22,28-159,PIT,@,RAM,L 10-45,,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
21,1968,6,1968-10-20,28-187,PIT,,NOR,L 12-16,,3,22,7.33,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0
,,,21 Games,,,,,4-16-1,,52,733,14.10,4,6,8,1.33,0,5,123,24.60,0,2,11,5.50,0,4,24,1,23,0
