
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1990,7,1990-10-21,24-010,DEN,@,IND,W 27-17,19,82,4.32,0,0,0,,0
2,1990,9,1990-11-11,24-031,DEN,@,SDG,L 7-19,1,-6,-6.00,0,1,10,10.00,0
3,1990,10,1990-11-18,24-038,DEN,,CHI,L 13-16,0,0,,0,2,35,17.50,0
4,1990,11,1990-11-22,24-042,DEN,@,DET,L 27-40,2,0,0.00,0,2,31,15.50,0
5,1990,12,1990-12-02,24-052,DEN,,RAI,L 20-23,0,0,,0,1,24,24.00,0
6,1990,13,1990-12-09,24-059,DEN,@,KAN,L 20-31,0,0,,0,3,65,21.67,0
7,1990,14,1990-12-16,24-066,DEN,,SDG,W 20-10,0,0,,0,1,22,22.00,0
8,1990,15,1990-12-23,24-073,DEN,@,SEA,L 12-17,1,5,5.00,0,1,8,8.00,0
9,1990,16,1990-12-30,24-080,DEN,,GNB,W 22-13,0,0,,0,2,19,9.50,0
,,,9 Games,,,,,3-6-0,23,81,3.52,0,13,214,16.46,0
