
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1985,7,1985-10-20,25-039,NOR,@,ATL,L 24-31,,0,0,,0,0,0,,0,0,0,,0
2,1985,8,1985-10-27,25-046,NOR,,NYG,L 13-21,,0,0,,0,0,0,,0,0,0,,0
3,1985,9,1985-11-03,25-053,NOR,@,RAM,L 10-28,,3,27,9.00,0,0,0,,0,0,0,,0
4,1985,10,1985-11-10,25-060,NOR,,SEA,L 3-27,,0,0,,0,0,0,,0,0,0,,0
5,1985,11,1985-11-17,25-067,NOR,@,GNB,L 14-38,,0,0,,0,1,1,1.00,0,0,0,,0
6,1985,12,1985-11-24,25-074,NOR,@,MIN,W 30-23,,0,0,,0,0,0,,0,1,23,23.00,0
7,1985,13,1985-12-01,25-081,NOR,,RAM,W 29-3,,0,0,,0,0,0,,0,0,0,,0
8,1985,14,1985-12-08,25-088,NOR,@,STL,L 16-28,,0,0,,0,0,0,,0,1,19,19.00,0
9,1985,15,1985-12-15,25-095,NOR,,SFO,L 19-31,,0,0,,0,0,0,,0,1,20,20.00,0
10,1985,16,1985-12-22,25-102,NOR,,ATL,L 10-16,,2,16,8.00,0,1,3,3.00,0,1,16,16.00,0
,,,10 Games,,,,,2-8-0,,5,43,8.60,0,2,4,2.00,0,4,78,19.50,0
