
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
1,2004,11,2004-11-28,24-007,CLE,@,CIN,L 48-58,,,,,,,,,,,,,,,,,,
2,2004,12,2004-12-05,24-014,CLE,,NWE,L 15-42,3,12,4.00,0,3,3,25,8.33,0,0,0,,0,0,0,,,
3,2004,13,2004-12-12,24-021,CLE,@,BUF,L 7-37,5,13,2.60,0,1,0,0,,0,0,0,,0,0,0,,,
4,2004,14,2004-12-19,24-028,CLE,,SDG,L 0-21,0,0,,0,0,0,0,,0,0,1,0.00,0,0,0,39.6,0.00,0.00
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
5,2005,15,2005-12-25,25-034,MIN,@,BAL,L 23-30,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,
6,2005,16,2006-01-01,25-041,MIN,,CHI,W 34-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
7,2006,11,2006-11-26,26-005,OAK,@,SDG,L 14-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
8,2006,12,2006-12-03,26-012,OAK,,HOU,L 14-23,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
9,2006,15,2006-12-23,26-032,OAK,,KAN,L 9-20,0,0,,0,0,0,0,,0,0,0,,0,0,0,,,
10,2006,16,2006-12-31,26-040,OAK,@,NYJ,L 3-23,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A
11,2007,3,2007-09-23,26-306,OAK,,CLE,W 26-24,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
12,2007,4,2007-09-30,26-313,OAK,@,MIA,W 35-17,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
13,2007,8,2007-10-28,26-341,HOU,@,SDG,L 10-35,10,62,6.20,0,2,2,11,5.50,0,0,0,,0,0,0,,,
14,2007,9,2007-11-04,26-348,HOU,@,OAK,W 24-17,2,6,3.00,0,0,0,0,,0,0,0,,0,0,0,,,
15,2007,10,2007-11-18,26-362,HOU,,NOR,W 23-10,1,2,2.00,0,0,0,0,,0,0,0,,0,0,0,,,
16,2007,11,2007-11-25,27-004,HOU,@,CLE,L 17-27,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
17,2007,12,2007-12-02,27-011,HOU,@,TEN,L 20-28,5,8,1.60,0,0,0,0,,0,0,0,,0,0,0,,,
18,2007,13,2007-12-09,27-018,HOU,,TAM,W 28-14,2,7,3.50,0,0,0,0,,0,0,0,,0,0,0,,,
19,2007,14,2007-12-13,27-022,HOU,,DEN,W 31-13,0,0,,0,,0,0,,0,0,0,,0,0,0,,,
,,,19 Games,,,,,7-12-0,28,110,3.93,0,6,5,36,7.20,0,0,1,0.00,0,0,0,39.6,0.00,0.00
