
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
1,1986,2,1986-09-15,25-308,DEN,@,PIT,W 21-10,,0,0,,0,1,2,2.00,0,0,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD,TD,Pts
2,1987,7,1987-11-01,26-355,DEN,,DET,W 34-0,,0,0,,0,0,0,,0,,
3,1987,12,1987-12-06,27-025,DEN,,NWE,W 31-20,,4,26,6.50,0,2,3,1.50,1,1,6
4,1987,13,1987-12-13,27-032,DEN,@,SEA,L 21-28,,5,59,11.80,0,1,4,4.00,0,0,0
5,1987,14,1987-12-19,27-038,DEN,,KAN,W 20-17,,0,0,,0,0,0,,0,,
6,1987,15,1987-12-27,27-046,DEN,,SDG,W 24-0,,0,0,,0,0,0,,0,,
,,,6 Games,,,,,5-1-0,,9,85,9.44,0,4,9,2.25,1,1,6
