
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1968,13,1968-12-08,23-193,DET,@,ATL,W 24-7,7,24,3.43,0,,1,6,6.00,0
2,1968,14,1968-12-15,23-200,DET,@,WAS,L 3-14,0,0,,0,,1,9,9.00,0
,,,2 Games,,,,,1-1-0,7,24,3.43,0,,2,15,7.50,0
