
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
48,2005,6,2005-10-16,25-319,SEA,,HOU,W 42-10,8,104,13.00,1,0,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0
49,2005,7,2005-10-23,25-326,SEA,,DAL,W 13-10,0,0,,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
50,2005,8,2005-11-06,25-340,SEA,@,ARI,W 33-19,5,30,6.00,0,1,1,12,12.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2005,9,2005-11-13,25-347,SEA,,STL,W 31-16,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
52,2005,10,2005-11-20,25-354,SEA,@,SFO,W 27-25,2,17,8.50,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2005,11,2005-11-27,25-361,SEA,,NYG,W 24-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
54,2005,12,2005-12-05,26-004,SEA,@,PHI,W 42-0,15,33,2.20,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
55,2005,13,2005-12-11,26-010,SEA,,SFO,W 41-3,7,22,3.14,0,0,0,0,,0,0,21,,0,0,,,0,,0,0,0.0,0,0
56,2005,14,2005-12-18,26-017,SEA,@,TEN,W 28-24,1,3,3.00,0,1,1,14,14.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2005,15,2005-12-24,26-023,SEA,,IND,W 28-13,9,34,3.78,0,1,1,3,3.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
58,2005,16,2006-01-01,26-031,SEA,@,GNB,L 17-23,9,25,2.78,0,3,2,19,9.50,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD,2PM,TD,Pts,Sk,Tkl,Ast
59,2006,1,2006-09-10,26-283,SEA,@,DET,W 9-6,3,23,7.67,0,1,1,6,6.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
60,2006,2,2006-09-17,26-290,SEA,,ARI,W 21-10,4,25,6.25,0,1,1,27,27.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
61,2006,3,2006-09-24,26-297,SEA,,NYG,W 42-30,15,18,1.20,0,0,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
62,2006,4,2006-10-01,26-304,SEA,@,CHI,L 6-37,11,35,3.18,0,4,1,2,2.00,0,0,0,,0,0,0,,0,,0,0,0.0,0,0
