
,,,,,,,,
Rk,Year,G#,Date,Age,Tm,,Opp,Result
1,2003,1,2003-09-07,22-135,TEN,,OAK,W 25-20
2,2003,6,2003-10-12,22-170,TEN,,HOU,W 38-17
3,2003,7,2003-10-19,22-177,TEN,@,CAR,W 37-17
,,,3 Games,,,,,3-0-0
