
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Pnt,Yds,Y/P,Blck
25,1962,1,1962-09-16,31-074,CHI,@,SFO,W 30-14,12,68,5.67,1,,2,-1,-0.50,0,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
26,1962,3,1962-09-30,31-088,CHI,@,GNB,L 0-49,4,3,0.75,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
27,1962,4,1962-10-07,31-095,CHI,@,MIN,W 13-0,10,39,3.90,0,,1,-2,-2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
28,1962,5,1962-10-14,31-102,CHI,,SFO,L 27-34,7,16,2.29,0,,0,0,,0,1,1,100.00,35,1,0,158.3,35.00,55.00,0,0,,0,0,0,0,0,,0
29,1962,6,1962-10-21,31-109,CHI,,BAL,W 35-15,13,47,3.62,0,,2,24,12.00,1,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
30,1962,7,1962-10-28,31-116,CHI,@,DET,L 3-11,3,3,1.00,0,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
31,1962,8,1962-11-04,31-123,CHI,,GNB,L 7-38,5,14,2.80,0,,2,33,16.50,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,0,0,0,0,,0
32,1962,9,1962-11-11,31-130,CHI,,MIN,W 31-30,13,52,4.00,0,,1,6,6.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
33,1962,10,1962-11-18,31-137,CHI,@,DAL,W 34-33,2,12,6.00,0,,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0,0,,0
34,1962,11,1962-11-25,31-144,CHI,@,BAL,W 57-0,6,1,0.17,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Punting,Punting,Punting,Punting
