
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1969,1,1969-09-21,22-132,SFO,@,ATL,L 12-24,0,0,,0,,1,24,24.00,0
2,1969,2,1969-09-28,22-139,SFO,@,GNB,L 7-14,1,2,2.00,0,,0,0,,0
3,1969,3,1969-10-05,22-146,SFO,,WAS,T 17-17,0,0,,0,,1,4,4.00,0
4,1969,7,1969-11-02,22-174,SFO,,DET,L 14-26,1,2,2.00,0,,0,0,,0
,,,4 Games,,,,,0-3-1,2,4,2.00,0,,2,28,14.00,0
