
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1963,1,1963-09-14,23-179,DET,@,RAM,W 23-2,3,9,3.00,0,,0,0,,0,0,0,,0,2,38,19.00,0
2,1963,2,1963-09-22,23-187,DET,@,GNB,L 10-31,5,6,1.20,0,,1,7,7.00,0,1,24,24.00,0,0,0,,0
3,1963,3,1963-09-29,23-194,DET,,CHI,L 21-37,2,1,0.50,0,,1,1,1.00,0,3,98,32.67,0,2,13,6.50,0
4,1963,4,1963-10-06,23-201,DET,,SFO,W 26-3,3,7,2.33,0,,0,0,,0,1,39,39.00,0,4,47,11.75,0
5,1963,5,1963-10-13,23-208,DET,@,DAL,L 14-17,0,0,,0,,0,0,,0,1,17,17.00,0,2,6,3.00,0
6,1963,6,1963-10-20,23-215,DET,,BAL,L 21-25,0,0,,0,,0,0,,0,2,30,15.00,0,0,0,,0
7,1963,7,1963-10-27,23-222,DET,,MIN,W 28-10,0,0,,0,,0,0,,0,1,23,23.00,0,1,4,4.00,0
,,,7 Games,,,,,3-4-0,13,23,1.77,0,,2,8,4.00,0,9,231,25.67,0,11,108,9.82,0
