
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1970,3,1970-10-04,25-084,RAM,,SDG,W 37-10,8,46,5.75,0,,1,-5,-5.00,0
2,1970,12,1970-12-06,25-147,RAM,,NOR,W 34-16,1,0,0.00,0,,0,0,,0
3,1970,14,1970-12-20,25-161,RAM,@,NYG,W 31-3,1,4,4.00,0,,0,0,,0
,,,3 Games,,,,,3-0-0,10,50,5.00,0,,1,-5,-5.00,0
