
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
1,1991,1,1991-09-01,22-022,DEN,,CIN,W 45-14,8,35,4.38,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
2,1991,2,1991-09-08,22-029,DEN,@,RAI,L 13-16,1,-1,-1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1991,3,1991-09-15,22-036,DEN,,SEA,W 16-10,0,0,,0,,0,0,,0,,,,,,,,,,0,0,,0,,
4,1991,4,1991-09-22,22-043,DEN,,SDG,W 27-19,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,20,20.00,0,0,0
5,1991,5,1991-09-29,22-050,DEN,@,MIN,W 13-6,2,1,0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
6,1991,6,1991-10-06,22-057,DEN,@,HOU,L 14-42,1,10,10.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
7,1991,7,1991-10-20,22-071,DEN,,KAN,W 19-16,17,54,3.18,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
8,1991,8,1991-10-27,22-078,DEN,@,NWE,W 9-6,18,59,3.28,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
9,1991,9,1991-11-03,22-085,DEN,,PIT,W 20-13,19,111,5.84,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
10,1991,10,1991-11-10,22-092,DEN,,RAI,L 16-17,9,32,3.56,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
11,1991,11,1991-11-17,22-099,DEN,@,KAN,W 24-20,3,3,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
12,1991,12,1991-11-24,22-106,DEN,@,SEA,L 10-13,1,2,2.00,0,,1,2,2.00,0,0,0,,0,0,0,,,,0,0,,0,0,0
13,1991,13,1991-12-01,22-113,DEN,,NWE,W 20-3,15,68,4.53,1,,1,7,7.00,0,0,0,,0,0,0,,,,0,0,,0,1,6
14,1991,14,1991-12-08,22-120,DEN,@,CLE,W 17-7,2,1,0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
15,1991,15,1991-12-15,22-127,DEN,,PHO,W 24-19,2,-1,-0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
16,1991,16,1991-12-22,22-134,DEN,@,SDG,W 17-14,1,2,2.00,1,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,1,6
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts
17,1992,1,1992-09-06,23-027,DEN,,RAI,W 17-13,1,0,0.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
18,1992,2,1992-09-13,23-034,DEN,,SDG,W 21-13,3,5,1.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
19,1992,3,1992-09-20,23-041,DEN,@,PHI,L 0-30,6,22,3.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
20,1992,4,1992-09-27,23-048,DEN,@,CLE,W 12-0,3,44,14.67,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
21,1992,5,1992-10-04,23-055,DEN,,KAN,W 20-19,1,3,3.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
22,1992,6,1992-10-12,23-063,DEN,@,WAS,L 3-34,4,-2,-0.50,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
23,1992,7,1992-10-18,23-069,DEN,,HOU,W 27-21,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,,,,,,
