
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
1,2005,7,2005-10-30,22-351,GNB,@,CIN,L 14-21,1,8,8.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
2,2005,8,2005-11-06,22-358,GNB,,PIT,L 10-20,26,62,2.38,1,1,1,9,9.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
3,2005,9,2005-11-13,23-000,GNB,@,ATL,W 33-25,25,103,4.12,2,4,4,5,1.25,1,0,0,,0,0,0,,,,0,0,,0,3,18,0.0,0,0
4,2005,10,2005-11-21,23-008,GNB,,MIN,L 17-20,10,7,0.70,0,2,1,30,30.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
5,2005,11,2005-11-27,23-014,GNB,@,PHI,L 14-19,26,111,4.27,1,1,1,11,11.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
6,2005,12,2005-12-04,23-021,GNB,@,CHI,L 7-19,20,75,3.75,1,2,1,12,12.00,0,0,0,,0,0,0,,,,0,0,,0,1,6,0.0,0,0
7,2005,13,2005-12-11,23-028,GNB,,DET,W 16-13,29,171,5.90,1,1,1,9,9.00,0,0,1,0.00,0,0,0,39.6,0.00,0.00,0,0,,0,1,6,0.0,0,0
8,2005,14,2005-12-19,23-036,GNB,@,BAL,L 3-48,6,45,7.50,0,1,1,1,1.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Scoring,Scoring,Sacks &amp; Tackles,Sacks &amp; Tackles,Sacks &amp; Tackles
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Rt,Yds,Y/Rt,TD,TD,Pts,Sk,Tkl,Ast
9,2006,1,2006-09-10,23-301,GNB,,CHI,L 0-26,2,-7,-3.50,0,1,1,5,5.00,0,0,0,,0,0,0,,,,3,57,19.00,0,0,0,0.0,0,0
10,2006,2,2006-09-17,23-308,HOU,@,IND,L 24-43,3,36,12.00,0,2,1,3,3.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
11,2006,3,2006-09-24,23-315,HOU,,WAS,L 15-31,1,0,0.00,0,0,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
12,2006,4,2006-10-01,23-322,HOU,,MIA,W 17-15,6,9,1.50,0,1,1,4,4.00,0,0,0,,0,0,0,,,,0,0,,0,0,0,0.0,0,0
