
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1984,1,1984-09-02,20-284,MIN,,SDG,L 13-42,1,3,3.00,0,0,0,,0
2,1984,2,1984-09-09,20-291,MIN,@,PHI,L 17-19,0,0,,0,1,0,0.00,0
,,,2 Games,,,,,0-2-0,1,3,3.00,0,1,0,0.00,0
