
,,,,,,,,,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rt,Yds,Y/Rt,TD
1,1978,1,1978-09-03,22-227,CHI,,STL,W 17-10,1,24,24.00,0
2,1978,2,1978-09-10,22-234,CHI,@,SFO,W 16-13,1,23,23.00,0
3,1978,4,1978-09-25,22-249,CHI,,MIN,L 20-24,3,63,21.00,0
,,,3 Games,,,,,2-1-0,5,110,22.00,0
