
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1960,1,1960-09-11,27-145,NYT,,BUF,W 27-3,11,66,6.00,0,,1,5,5.00,0
2,1960,2,1960-09-17,27-151,NYT,,BOS,L 24-28,4,5,1.25,0,,0,0,,0
3,1960,3,1960-09-23,27-157,NYT,,DEN,W 28-24,3,19,6.33,0,,1,2,2.00,0
4,1960,4,1960-10-02,27-166,NYT,@,DTX,W 37-35,2,10,5.00,0,,0,0,,0
5,1960,5,1960-10-09,27-173,NYT,@,HOU,L 21-27,5,13,2.60,0,,1,12,12.00,0
,,,5 Games,,,,,3-2-0,25,113,4.52,0,,3,19,6.33,0
