
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2006,4,2006-10-02,25-171,GNB,@,PHI,L 9-31,2,2,9,4.50,0
2,2006,5,2006-10-08,25-177,GNB,,STL,L 20-23,,0,0,,0
3,2006,6,2006-10-22,25-191,GNB,@,MIA,W 34-24,3,2,13,6.50,0
4,2006,7,2006-10-29,25-198,GNB,,ARI,W 31-14,4,4,31,7.75,0
5,2006,11,2006-11-27,25-227,GNB,@,SEA,L 24-34,1,0,0,,0
6,2006,12,2006-12-03,25-233,GNB,,NYJ,L 10-38,1,0,0,,0
7,2006,13,2006-12-10,25-240,GNB,@,SFO,W 30-19,,0,0,,0
8,2006,14,2006-12-17,25-247,GNB,,DET,W 17-9,1,1,4,4.00,0
9,2006,15,2006-12-21,25-251,GNB,,MIN,W 9-7,,0,0,,0
10,2006,16,2006-12-31,25-261,GNB,@,CHI,W 26-7,1,0,0,,0
,,,10 Games,,,,,6-4-0,13,9,57,6.33,0
