
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
1,2007,16,2007-12-30,24-079,MIN,@,DEN,L 19-22,3,2,26,13.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
2,2008,1,2008-09-08,24-332,MIN,@,GNB,L 19-24,4,3,49,16.33,0
3,2008,2,2008-09-14,24-338,MIN,,IND,L 15-18,0,0,0,,0
4,2008,3,2008-09-21,24-345,MIN,,CAR,W 20-10,2,1,10,10.00,0
5,2008,4,2008-09-28,24-352,MIN,@,TEN,L 17-30,3,,,,
6,2008,5,2008-10-06,24-360,MIN,@,NOR,W 30-27,1,,,,
7,2008,6,2008-10-12,25-000,MIN,,DET,W 12-10,0,,,,
8,2008,7,2008-10-19,25-007,MIN,@,CHI,L 41-48,,,,,
9,2008,10,2008-11-16,25-035,MIN,@,TAM,L 13-19,1,1,6,6.00,0
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD
10,2010,2,2010-09-19,26-342,PHI,@,DET,W 35-32,1,1,14,14.00,0
11,2010,3,2010-09-26,26-349,PHI,@,JAX,W 28-3,1,,,,
12,2010,4,2010-10-03,26-356,PHI,,WAS,L 12-17,,,,,
13,2010,5,2010-10-10,26-363,PHI,@,SFO,W 27-24,,,,,
14,2010,6,2010-10-17,27-005,PHI,,ATL,W 31-17,,,,,
15,2010,7,2010-10-24,27-012,PHI,@,TEN,L 19-37,1,1,5,5.00,0
16,2010,8,2010-11-07,27-026,PHI,,IND,W 26-24,,,,,
,,,16 Games,,,,,8-8-0,17,9,110,12.22,0
