
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,2007,1,2007-09-09,24-099,BUF,,DEN,L 14-15,0,0,,0,,0,0,,0,0,0,,0
2,2007,2,2007-09-16,24-106,BUF,@,PIT,L 3-26,,,,,,,,,,,,,
3,2007,3,2007-09-23,24-113,BUF,@,NWE,L 7-38,6,36,6.00,0,0,0,0,,0,0,0,,0
4,2007,4,2007-09-30,24-120,BUF,,NYJ,W 17-14,1,0,0.00,0,0,0,0,,0,0,0,,0
5,2007,5,2007-10-08,24-128,BUF,,DAL,L 24-25,1,2,2.00,0,1,1,4,4.00,0,0,0,,0
6,2007,6,2007-10-21,24-141,BUF,,BAL,W 19-14,3,10,3.33,0,0,0,0,,0,0,0,,0
7,2007,7,2007-10-28,24-148,BUF,@,NYJ,W 13-3,12,25,2.08,0,1,1,8,8.00,0,0,0,,0
8,2007,8,2007-11-04,24-155,BUF,,CIN,W 33-21,1,2,2.00,0,0,0,0,,0,0,0,,0
9,2007,9,2007-11-11,24-162,BUF,@,MIA,W 13-10,1,1,1.00,0,0,0,0,,0,0,0,,0
10,2007,10,2007-11-18,24-169,BUF,,NWE,L 10-56,1,1,1.00,0,1,1,5,5.00,0,0,0,,0
11,2007,11,2007-11-25,24-176,BUF,@,JAX,L 14-36,0,0,,0,0,0,0,,0,0,0,,0
12,2007,12,2007-12-02,24-183,BUF,@,WAS,W 17-16,2,14,7.00,0,0,0,0,,0,1,0,0.00,0
13,2007,13,2007-12-09,24-190,BUF,,MIA,W 38-17,,,,,,,,,,,,,
14,2007,14,2007-12-16,24-197,BUF,@,CLE,L 0-8,0,0,,0,,0,0,,0,0,0,,0
15,2007,15,2007-12-23,24-204,BUF,,NYG,L 21-38,1,3,3.00,0,0,0,0,,0,0,0,,0
16,2007,16,2007-12-30,24-211,BUF,@,PHI,L 9-17,0,0,,0,0,0,0,,0,0,0,,0
,,,16 Games,,,,,7-9-0,29,94,3.24,0,3,3,17,5.67,0,1,0,0.00,0
