
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD
1,1988,10,1988-11-06,22-094,GNB,@,ATL,L 0-20,1,0,0.00,0,,0,0,,0
2,1988,11,1988-11-13,22-101,GNB,,IND,L 13-20,0,0,,0,,2,17,8.50,0
3,1988,12,1988-11-20,22-108,GNB,,DET,L 9-19,0,0,,0,,0,0,,0
4,1988,14,1988-12-04,22-122,GNB,@,DET,L 14-30,0,0,,0,,0,0,,0
5,1988,16,1988-12-18,22-136,GNB,@,PHO,W 26-17,1,2,2.00,0,,0,0,,0
,,,5 Games,,,,,1-4-0,2,2,1.00,0,,2,17,8.50,0
