
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,TD,Pts
1,1987,3,1987-10-04,22-234,DAL,@,NYJ,W 38-24,28,72,2.57,1,,0,0,,0,1,6
2,1987,4,1987-10-11,22-241,DAL,,PHI,W 41-22,18,53,2.94,2,,1,5,5.00,0,2,12
,,,2 Games,,,,,2-0-0,46,125,2.72,3,,1,5,5.00,0,3,18
