
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Ret,Yds,Y/R,TD,TD,Pts
1,1966,14,1966-12-18,23-046,ATL,,PIT,L 33-57,4,23,5.75,0,,4,84,21.00,2,0,0,,0,0,0,,,,0,0,,0,2,12
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Ret,Yds,Y/R,TD,TD,Pts
2,1968,7,1968-10-27,24-360,OAK,,CIN,W 31-10,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
3,1968,11,1968-11-24,25-022,OAK,@,CIN,W 34-0,3,6,2.00,0,,0,0,,0,0,0,,0,0,0,,,,0,0,,0,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,AY/A,Ret,Yds,Y/R,TD,TD,Pts
4,1969,5,1969-10-11,25-343,BUF,,BOS,W 23-16,4,25,6.25,0,,0,0,,0,1,1,100.00,45,1,0,158.3,45.00,65.00,0,0,,0,0,0
5,1969,9,1969-11-09,26-007,BUF,@,NYJ,L 6-16,0,0,,0,,0,0,,0,0,0,,0,0,0,,,,1,3,3.00,0,0,0
,,,5 Games,,,,,3-2-0,12,55,4.58,0,,4,84,21.00,2,1,1,100.00,45,1,0,158.3,45.00,65.00,1,3,3.00,0,2,12
