
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD
1,1987,3,1987-10-04,23-357,NYJ,,DAL,L 24-38,1,9,9.00,0,,1,9,9.00,0,0,0,,0
2,1987,4,1987-10-11,23-364,NYJ,@,IND,L 0-6,0,0,,0,,0,0,,0,2,8,4.00,0
3,1987,5,1987-10-18,24-006,NYJ,,MIA,W 37-31,0,0,,0,,0,0,,0,0,0,,0
,,,3 Games,,,,,1-2-0,1,9,9.00,0,,1,9,9.00,0,2,8,4.00,0
