
,,,,,,,,,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD
1,1996,12,1996-11-24,24-036,BUF,,NYJ,W 35-10,4,8,2.00,0
2,1996,13,1996-12-01,24-043,BUF,@,IND,L 10-13,0,0,,0
,,,2 Games,,,,,1-1-0,4,8,2.00,0
