
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1972,1,1972-09-17,22-092,HOU,@,DEN,L 17-30,4,8,2.00,0,,3,17,5.67,0,0,0,,0,0,0,,0
2,1972,2,1972-09-24,22-099,HOU,@,MIA,L 13-34,1,2,2.00,0,,2,-2,-1.00,0,1,15,15.00,0,0,0,,0
3,1972,3,1972-10-01,22-106,HOU,,NYJ,W 26-20,2,3,1.50,0,,0,0,,0,0,0,,0,0,0,,0
4,1972,4,1972-10-09,22-114,HOU,,OAK,L 0-34,1,1,1.00,0,,0,0,,0,0,0,,0,0,0,,0
5,1972,7,1972-10-29,22-134,HOU,@,CIN,L 7-30,0,0,,0,,0,0,,0,2,51,25.50,0,1,0,0.00,0
6,1972,8,1972-11-05,22-141,HOU,@,CLE,L 0-20,0,0,,0,,0,0,,0,4,88,22.00,0,1,0,0.00,0
7,1972,12,1972-12-03,22-169,HOU,@,ATL,L 10-20,1,7,7.00,0,,0,0,,0,0,0,,0,0,0,,0
8,1972,13,1972-12-10,22-176,HOU,,PIT,L 3-9,1,-5,-5.00,0,,1,9,9.00,0,0,0,,0,0,0,,0
9,1972,14,1972-12-17,22-183,HOU,,CIN,L 17-61,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
10,1973,3,1973-09-30,23-105,HOU,,PIT,L 7-36,1,-3,-3.00,0,,0,0,,0,0,0,,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
11,1974,13,1974-12-08,24-174,HOU,@,DEN,L 14-37,0,0,,0,,0,0,,0,1,14,14.00,0,0,0,,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
12,1976,5,1976-10-10,26-115,HOU,,DEN,W 17-3,0,0,,0,,0,0,,0,1,20,20.00,0,0,0,,0
13,1976,7,1976-10-24,26-129,HOU,,CIN,L 7-27,0,0,,0,,0,0,,0,3,52,17.33,0,0,0,,0
14,1976,8,1976-11-01,26-137,HOU,@,BAL,L 14-38,0,0,,0,,0,0,,0,2,36,18.00,0,0,0,,0
15,1976,12,1976-11-28,26-164,HOU,,ATL,W 20-14,0,0,,0,,0,0,,0,2,42,21.00,0,0,0,,0
,,,15 Games,,,,,3-12-0,12,10,0.83,0,,6,24,4.00,0,16,318,19.88,0,2,0,0.00,0
