
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Rushing
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Att,Yds,Y/A,TD
1,1996,1,1996-09-01,24-255,NOR,@,SFO,L 11-27,,0,0,,0,0,0,,0
2,1996,2,1996-09-08,24-262,NOR,,CAR,L 20-22,1,1,-3,-3.00,0,1,3,3.00,0
3,1996,4,1996-09-22,24-276,NOR,,ARI,L 14-28,7,4,47,11.75,0,2,-3,-1.50,0
4,1996,6,1996-10-06,24-290,NOR,,JAX,W 17-13,4,4,37,9.25,0,3,-3,-1.00,0
5,1996,7,1996-10-13,24-297,NOR,,CHI,W 27-24,2,2,4,2.00,0,2,12,6.00,0
6,1996,8,1996-10-20,24-304,NOR,@,CAR,L 7-19,3,3,8,2.67,0,2,8,4.00,0
7,1996,9,1996-11-03,24-318,NOR,,SFO,L 17-24,3,2,15,7.50,0,2,5,2.50,0
8,1996,14,1996-12-08,24-353,NOR,,ATL,L 15-31,5,4,23,5.75,0,4,8,2.00,0
9,1996,15,1996-12-15,24-360,NOR,@,NYG,W 17-3,3,2,7,3.50,0,3,24,8.00,0
10,1996,16,1996-12-21,25-000,NOR,@,STL,L 13-14,6,4,24,6.00,0,1,-2,-2.00,0
,,,10 Games,,,,,3-7-0,34,26,162,6.23,0,20,52,2.60,0
