
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Rt,Yds,Y/Rt,TD
1,1969,12,1969-12-07,22-217,ATL,,NOR,W 45-17,1,4,4.00,0,1,10,10.00,0
2,1969,13,1969-12-14,22-224,ATL,@,PHI,W 27-3,3,-5,-1.67,0,0,0,,0
,,,2 Games,,,,,2-0-0,4,-1,-0.25,0,1,10,10.00,0
