
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1971,7,1971-10-31,23-334,STL,@,BUF,W 28-23,,0,0,,0,1,0,0.00,0
2,1971,13,1971-12-12,24-011,STL,@,PHI,L 7-19,,1,12,12.00,0,0,0,,0
,,,2 Games,,,,,1-1-0,,1,12,12.00,0,1,0,0.00,0
