
,,,,,,,,,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD,Ret,Yds,Y/R,TD
1,1995,5,1995-10-01,23-087,HOU,,JAX,L 16-17,1,1,11,11.00,0,0,0,,0,0,0,,0
2,1995,7,1995-10-22,23-108,HOU,@,CHI,L 32-35,,0,0,,0,0,0,,0,,,,
3,1995,8,1995-10-29,23-115,HOU,,TAM,W 19-7,,0,0,,0,0,0,,0,,,,
4,1995,9,1995-11-05,23-122,HOU,@,CLE,W 37-10,,0,0,,0,0,0,,0,,,,
5,1995,10,1995-11-12,23-129,HOU,,CIN,L 25-32,,0,0,,0,0,0,,0,,,,
6,1995,11,1995-11-19,23-136,HOU,@,KAN,L 13-20,0,0,0,,0,0,0,,0,,,,
7,1995,13,1995-12-03,23-150,HOU,@,PIT,L 7-21,0,0,0,,0,2,28,14.00,0,0,0,,0
8,1995,15,1995-12-17,23-164,CHI,,TAM,W 31-10,0,0,0,,0,1,11,11.00,0,0,0,,0
9,1995,16,1995-12-24,23-171,CHI,,PHI,W 20-14,0,0,0,,0,0,0,,0,1,-4,-4.00,0
,,,9 Games,,,,,4-5-0,1,1,11,11.00,0,3,39,13.00,0,1,-4,-4.00,0
