
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Kick Returns,Kick Returns,Kick Returns,Kick Returns
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Rt,Yds,Y/Rt,TD
1,1984,4,1984-09-23,22-210,PIT,@,CLE,L 10-20,2,12,6.00,0,,1,12,12.00,0,0,0,,0
2,1984,5,1984-10-01,22-218,PIT,,CIN,W 38-17,1,2,2.00,0,,0,0,,0,0,0,,0
3,1984,9,1984-10-28,22-245,PIT,,ATL,W 35-10,1,2,2.00,0,,0,0,,0,0,0,,0
4,1984,10,1984-11-04,22-252,PIT,,HOU,W 35-7,3,2,0.67,0,,0,0,,0,0,0,,0
5,1984,15,1984-12-09,22-287,PIT,,CLE,W 23-20,0,0,,0,,0,0,,0,1,12,12.00,0
,,,5 Games,,,,,4-1-0,7,18,2.57,0,,1,12,12.00,0,1,12,12.00,0
