
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Int,Yds,TD
1,1960,2,1960-10-09,30-148,WAS,,DAL,W 26-14,1,15,15.00,0,1,3,0
2,1960,7,1960-11-13,30-183,WAS,@,PHI,L 13-19,0,0,,0,1,1,0
3,1960,11,1960-12-11,30-211,WAS,,NYG,L 3-17,0,0,,0,1,0,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Int,Yds,TD
4,1961,9,1961-11-12,31-182,BAL,@,MIN,L 20-28,0,0,,0,1,8,0
5,1961,11,1961-11-26,31-196,BAL,@,WAS,W 27-6,0,0,,0,3,10,0
,,,,,,,,,Rushing,Rushing,Rushing,Rushing,Def Interceptions,Def Interceptions,Def Interceptions
Rk,Year,G#,Date,Age,Tm,,Opp,Result,Att,Yds,Y/A,TD,Int,Yds,TD
6,1963,11,1963-12-01,33-201,SDG,,HOU,W 27-0,0,0,,0,1,13,0
,,,6 Games,,,,,3-3-0,1,15,15.00,0,8,35,0
